timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,hour(timestamp)
2018-06-04T04:00:07.109045Z,XBTUSD,Buy,20,7694,ZeroPlusTick,3627d94a-3f0b-4ed9-75c8-362ba6a5bb93,259940,0.0025994,20,4
2018-06-04T12:00:10.577924Z,XBTUSD,Buy,2670,7513.5,PlusTick,c4cc3644-21c1-1dcf-8d98-5f691b6fcc1c,35535030,0.3553503,2670,12
2018-06-04T20:00:02.615023Z,XBTUSD,Buy,50,7492,ZeroPlusTick,96e0f0e8-2c5e-d4f0-6fb3-5a8a8d86c4e6,667400,0.006674,50,20
2018-06-05T04:00:04.687814Z,XBTUSD,Buy,5000,7413,PlusTick,dacb1ef4-648e-7e21-3d0f-63262c988081,67450000,0.6745,5000,4
2018-06-05T12:00:05.577569Z,XBTUSD,Buy,2,7420,ZeroPlusTick,6d258f65-adb7-1c6b-57be-c6e7a277a1ac,26954,2.6954e-4,2,12
2018-06-05T20:00:04.774087Z,XBTUSD,Buy,7900,7625,PlusTick,2f3c6622-2bce-a0f5-f73f-07d2d0bf6d9f,103608500,1.036085,7900,20
2018-06-06T04:00:02.910129Z,XBTUSD,Sell,2000,7615,ZeroMinusTick,61be496e-ba0f-e691-6afa-8c757141b948,26264000,0.26264,2000,4
2018-06-06T12:00:15.228899Z,XBTUSD,Buy,50000,7615.5,PlusTick,4171d045-e267-62a2-bb61-93e1f8c8e490,656550000,6.5655,50000,12
2018-06-06T20:00:05.968762Z,XBTUSD,Buy,164,7526,ZeroPlusTick,fc8a3134-0171-c6fa-7cbc-a658c9ed8c49,2179068,0.02179068,164,20
2018-06-07T04:00:07.294111Z,XBTUSD,Sell,10000,7722,MinusTick,9457655c-b10a-1e3f-5ed5-6df74f644fef,129500000,1.295,10000,4
2018-06-07T12:00:10.040685Z,XBTUSD,Sell,10000,7693.5,MinusTick,225eeff4-e8ba-df0f-5af2-a27c758b6647,129980000,1.2998,10000,12
2018-06-07T20:00:07.903502Z,XBTUSD,Sell,30,7697,MinusTick,247c0025-25cd-6a8a-a85b-597ad8cc958c,389760,0.0038976,30,20
2018-06-08T04:00:08.548810Z,XBTUSD,Buy,100,7642.5,ZeroMinusTick,aaaeb928-494d-f3cb-c94c-a36d0a0ae71a,1308500,0.013085,100,4
2018-06-08T12:00:09.932616Z,XBTUSD,Sell,10000,7568,MinusTick,e16c429d-bab1-441d-0784-9a99005dacb0,132140000,1.3214,10000,12
2018-06-08T20:00:05.117408Z,XBTUSD,Sell,1,7644.5,ZeroMinusTick,5da3a68a-d7bf-ae63-0eea-9410102def44,13081,1.3081e-4,1,20
2018-06-09T04:00:06.369670Z,XBTUSD,Sell,5000,7670.5,ZeroMinusTick,4fd75ac4-0126-b769-7361-d2ba60f0c4fb,65185000,0.65185,5000,4
2018-06-09T12:00:09.857111Z,XBTUSD,Sell,5000,7638.5,ZeroMinusTick,888f8511-9b34-5f62-dcf9-d9d2324b7ec2,65460000,0.6546,5000,12
2018-06-09T20:00:06.165068Z,XBTUSD,Sell,9,7616,ZeroMinusTick,94f2e290-8482-58ae-e023-d253d9997be3,118170,0.0011817,9,20
2018-06-10T04:00:08.212822Z,XBTUSD,Buy,32231,7288.5,ZeroPlusTick,950542ba-ca99-11d1-a84c-0ab9bd0e09fb,442209320,4.4220932,32231,4
2018-06-10T12:00:10.961707Z,XBTUSD,Buy,2089,7239.5,ZeroPlusTick,b67b5202-41a2-e82e-4a9c-77beb03f4429,28855357,0.28855357,2089,12
2018-06-10T20:00:07.123443Z,XBTUSD,Sell,1635,6814,ZeroMinusTick,f551a4f3-acc8-8764-42d4-cfb4bd979cd1,23995260,0.2399526,1635,20
2018-06-11T04:00:06.667984Z,XBTUSD,Sell,8000,6776.5,MinusTick,3915981a-5265-b6a3-741b-a69414686fb4,118056000,1.18056,8000,4
2018-06-11T12:00:11.699934Z,XBTUSD,Sell,2500,6794,ZeroMinusTick,d5de030e-5703-a99e-6412-382b2b187893,36797500,0.367975,2500,12
2018-06-11T20:00:04.212239Z,XBTUSD,Sell,2,6760.5,MinusTick,8ec20fbb-58bc-9d72-ef20-eabb6bd8a1f3,29584,2.9584e-4,2,20
2018-06-12T04:00:05.244111Z,XBTUSD,Buy,100,6817,ZeroPlusTick,d0e845e2-9ec6-65e8-5185-10a1dd05a892,1466900,0.014669,100,4
2018-06-12T12:00:12.199671Z,XBTUSD,Sell,1000,6841.5,ZeroMinusTick,43593acf-bb57-2caa-f4a4-f100585cd852,14617000,0.14617,1000,12
2018-06-12T20:00:02.796504Z,XBTUSD,Buy,200,6507.5,ZeroPlusTick,04ab4b6e-85b7-3fdb-88e6-0e9be76c6bf4,3073400,0.030734,200,20
2018-06-13T04:00:04.470239Z,XBTUSD,Sell,1000,6555,ZeroMinusTick,318d9416-1994-9692-9744-428cdde1c2f9,15256000,0.15256,1000,4
2018-06-13T12:00:08.738099Z,XBTUSD,Sell,40000,6450.5,MinusTick,94a938c6-7eb1-9116-f319-4a41b0be1574,620120000,6.2012,40000,12
2018-06-13T20:00:05.017230Z,XBTUSD,Buy,32500,6281,PlusTick,8a9c7528-41e0-72af-4e05-942cf839aceb,517432500,5.174325,32500,20
2018-06-14T04:00:06.289842Z,XBTUSD,Sell,408,6491,ZeroMinusTick,02f1ed25-50ff-565a-31eb-ab826f2b18fb,6285648,0.06285648,408,4
2018-06-14T12:00:10.359236Z,XBTUSD,Sell,1500,6513.5,ZeroMinusTick,b1d09b88-b9aa-8052-2129-8f23340f3134,23029500,0.230295,1500,12
2018-06-14T20:00:03.579349Z,XBTUSD,Sell,594,6634,MinusTick,dc1701a9-cdc2-5a5a-9df4-400e9094380b,8953956,0.08953956,594,20
2018-06-15T04:00:06.273278Z,XBTUSD,Sell,1618,6602.5,ZeroMinusTick,cc026b8a-40e6-0a36-c474-2f187d54c379,24506228,0.24506228,1618,4
2018-06-15T12:00:19.252441Z,XBTUSD,Sell,25,6528.5,ZeroMinusTick,cb72d7c7-2897-863f-074c-b1deb4d56e0a,382925,0.00382925,25,12
2018-06-15T20:00:04.488240Z,XBTUSD,Sell,20759,6545.5,ZeroMinusTick,b8419907-0d14-4241-1de4-5be8913c22a2,317156002,3.17156002,20759,20
2018-06-16T04:00:07.745900Z,XBTUSD,Buy,1500,6411,ZeroPlusTick,42489114-78cc-6173-58c9-63eea833b0b7,23397000,0.23397,1500,4
2018-06-16T12:00:09.759757Z,XBTUSD,Buy,5,6450.5,ZeroPlusTick,7d0f0c61-6718-bd18-71ce-44ac0370d8f5,77515,7.7515e-4,5,12
